===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-09-30 00:11:12
count workspace : /home/jeremias/SGIColegio
total files : 426
total code lines : 195112
total comment lines : 12327
total blank lines : 14254

.editorconfig, code is 11, comment is 1, blank is 2.
client/src/app/empleados/componentes/empleado-historico/empleado-historico.component.css, code is 34, comment is 0, blank is 10.
client/src/app/empleados/componentes/empleado-historico/empleado-historico.component.html, code is 56, comment is 9, blank is 10.
client/src/app/empleados/componentes/empleado-historico/empleado-historico.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/empleados/componentes/empleado-historico/empleado-historico.component.ts, code is 58, comment is 5, blank is 10.
client/src/app/empleados/componentes/formacion/formacion.component.css, code is 12, comment is 0, blank is 2.
client/src/app/empleados/componentes/formacion/formacion.component.html, code is 43, comment is 3, blank is 3.
client/src/app/empleados/componentes/formacion/formacion.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/empleados/componentes/formacion/formacion.component.ts, code is 60, comment is 3, blank is 11.
client/src/app/empleados/componentes/lista-empleados/lista-empleados.component.css, code is 34, comment is 0, blank is 10.
client/src/app/empleados/componentes/lista-empleados/lista-empleados.component.html, code is 74, comment is 12, blank is 13.
client/src/app/empleados/componentes/lista-empleados/lista-empleados.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/empleados/componentes/lista-empleados/lista-empleados.component.ts, code is 145, comment is 11, blank is 18.
client/src/app/empleados/componentes/nuevo-empleado/nuevo-empleado.component.css, code is 10, comment is 0, blank is 2.
client/src/app/empleados/componentes/nuevo-empleado/nuevo-empleado.component.html, code is 176, comment is 24, blank is 18.
client/src/app/empleados/componentes/nuevo-empleado/nuevo-empleado.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/empleados/componentes/nuevo-empleado/nuevo-empleado.component.ts, code is 130, comment is 41, blank is 21.
client/src/app/empleados/componentes/perfil-empleado/perfil-empleado.component.css, code is 19, comment is 0, blank is 4.
client/src/app/empleados/componentes/perfil-empleado/perfil-empleado.component.html, code is 23, comment is 4, blank is 4.
client/src/app/empleados/componentes/perfil-empleado/perfil-empleado.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/empleados/componentes/perfil-empleado/perfil-empleado.component.ts, code is 62, comment is 1, blank is 5.
client/src/app/empleados/empleados.module.ts, code is 20, comment is 0, blank is 1.
client/src/app/login/login/login.component.css, code is 0, comment is 0, blank is 0.
client/src/app/login/login/login.component.html, code is 11, comment is 0, blank is 0.
client/src/app/login/login/login.component.spec.ts, code is 20, comment is 0, blank is 5.
client/src/app/login/login/login.component.ts, code is 20, comment is 0, blank is 4.
client/src/app/material/material.module.ts, code is 83, comment is 1, blank is 6.
client/src/app/models/curso-model.spec.ts, code is 6, comment is 0, blank is 1.
client/src/app/models/curso-model.ts, code is 17, comment is 0, blank is 3.
client/src/app/models/materia-model.spec.ts, code is 6, comment is 1, blank is 1.
client/src/app/models/materia-model.ts, code is 20, comment is 0, blank is 2.
client/src/app/models/nivel-model.spec.ts, code is 6, comment is 0, blank is 1.
client/src/app/models/plan-estudio-model.ts, code is 12, comment is 0, blank is 1.
client/src/app/servicios/aula/aula.service.spec.ts, code is 9, comment is 0, blank is 3.
client/src/app/servicios/aula/aula.service.ts, code is 61, comment is 14, blank is 12.
client/src/app/servicios/auth-service.service.spec.ts, code is 9, comment is 0, blank is 3.
client/src/app/servicios/auth-service.service.ts, code is 16, comment is 0, blank is 11.
client/src/app/servicios/cursos/curso.service.spec.ts, code is 9, comment is 0, blank is 3.
client/src/app/servicios/cursos/curso.service.ts, code is 63, comment is 15, blank is 17.
client/src/app/servicios/docentes/docente.service.spec.ts, code is 9, comment is 0, blank is 3.
client/src/app/servicios/docentes/docente.service.ts, code is 104, comment is 24, blank is 21.
client/src/app/servicios/empleados/empleado.service.spec.ts, code is 9, comment is 0, blank is 3.
client/src/app/servicios/empleados/empleado.service.ts, code is 89, comment is 31, blank is 20.
client/src/app/servicios/materias/materia.service.spec.ts, code is 9, comment is 0, blank is 3.
client/src/app/servicios/materias/materia.service.ts, code is 100, comment is 16, blank is 19.
client/src/app/servicios/niveles/nivel.service.spec.ts, code is 9, comment is 0, blank is 3.
client/src/app/servicios/niveles/nivel.service.ts, code is 29, comment is 7, blank is 8.
